iter     0 | reward -0.021 | regret[first10] 1.105 -> regret[last10] 1.122 | policy_loss -0.0008 | entropy 1.512
iter    10 | reward -0.030 | regret[first10] 1.150 -> regret[last10] 1.185 | policy_loss -0.0001 | entropy 1.555
iter    20 | reward +0.049 | regret[first10] 1.090 -> regret[last10] 1.125 | policy_loss +0.0000 | entropy 1.507
iter    30 | reward +0.074 | regret[first10] 1.134 -> regret[last10] 1.143 | policy_loss -0.0005 | entropy 1.492
iter    40 | reward +0.001 | regret[first10] 1.081 -> regret[last10] 1.106 | policy_loss -0.0001 | entropy 1.330
iter    50 | reward +0.115 | regret[first10] 0.983 -> regret[last10] 1.021 | policy_loss +0.0010 | entropy 1.252
iter    60 | reward +0.053 | regret[first10] 1.060 -> regret[last10] 1.189 | policy_loss +0.0006 | entropy 1.321
iter    70 | reward +0.117 | regret[first10] 1.043 -> regret[last10] 1.092 | policy_loss +0.0015 | entropy 1.307
iter    80 | reward +0.094 | regret[first10] 1.120 -> regret[last10] 1.166 | policy_loss +0.0006 | entropy 1.317
iter    90 | reward -0.017 | regret[first10] 1.103 -> regret[last10] 1.174 | policy_loss +0.0011 | entropy 1.348
iter   100 | reward +0.086 | regret[first10] 1.115 -> regret[last10] 1.138 | policy_loss +0.0005 | entropy 1.306
iter   110 | reward +0.034 | regret[first10] 1.119 -> regret[last10] 1.108 | policy_loss -0.0001 | entropy 1.277
iter   120 | reward +0.023 | regret[first10] 1.187 -> regret[last10] 1.117 | policy_loss -0.0007 | entropy 1.276
iter   130 | reward +0.037 | regret[first10] 1.187 -> regret[last10] 1.111 | policy_loss +0.0035 | entropy 1.225
iter   140 | reward +0.083 | regret[first10] 1.120 -> regret[last10] 1.121 | policy_loss +0.0006 | entropy 1.180
iter   150 | reward +0.150 | regret[first10] 1.006 -> regret[last10] 1.003 | policy_loss -0.0001 | entropy 1.166
iter   160 | reward +0.211 | regret[first10] 1.079 -> regret[last10] 1.050 | policy_loss +0.0008 | entropy 1.141
iter   170 | reward +0.116 | regret[first10] 1.040 -> regret[last10] 1.058 | policy_loss +0.0006 | entropy 1.215
iter   180 | reward +0.183 | regret[first10] 1.076 -> regret[last10] 1.071 | policy_loss +0.0007 | entropy 1.233
iter   190 | reward +0.237 | regret[first10] 0.988 -> regret[last10] 1.042 | policy_loss -0.0004 | entropy 1.241
iter   200 | reward +0.189 | regret[first10] 1.044 -> regret[last10] 1.062 | policy_loss -0.0007 | entropy 1.250
iter   210 | reward +0.190 | regret[first10] 1.118 -> regret[last10] 1.103 | policy_loss -0.0004 | entropy 1.274
iter   220 | reward +0.149 | regret[first10] 1.067 -> regret[last10] 1.030 | policy_loss -0.0000 | entropy 1.262
iter   230 | reward +0.261 | regret[first10] 1.078 -> regret[last10] 0.996 | policy_loss +0.0020 | entropy 1.212
iter   240 | reward +0.217 | regret[first10] 1.024 -> regret[last10] 1.103 | policy_loss +0.0013 | entropy 1.224
iter   250 | reward +0.291 | regret[first10] 0.976 -> regret[last10] 0.979 | policy_loss +0.0004 | entropy 1.137
iter   260 | reward +0.298 | regret[first10] 0.959 -> regret[last10] 1.030 | policy_loss -0.0005 | entropy 1.096
iter   270 | reward +0.282 | regret[first10] 0.933 -> regret[last10] 0.973 | policy_loss +0.0000 | entropy 1.136
iter   280 | reward +0.250 | regret[first10] 1.009 -> regret[last10] 1.034 | policy_loss -0.0000 | entropy 1.145
iter   290 | reward +0.274 | regret[first10] 1.008 -> regret[last10] 1.000 | policy_loss -0.0008 | entropy 1.150
iter   300 | reward +0.260 | regret[first10] 0.971 -> regret[last10] 1.014 | policy_loss -0.0003 | entropy 1.145
iter   310 | reward +0.281 | regret[first10] 0.934 -> regret[last10] 0.983 | policy_loss +0.0000 | entropy 1.060
iter   320 | reward +0.377 | regret[first10] 0.956 -> regret[last10] 1.026 | policy_loss +0.0006 | entropy 1.042
iter   330 | reward +0.305 | regret[first10] 0.883 -> regret[last10] 1.010 | policy_loss +0.0013 | entropy 1.110
iter   340 | reward +0.352 | regret[first10] 0.991 -> regret[last10] 0.978 | policy_loss +0.0018 | entropy 1.041
iter   350 | reward +0.342 | regret[first10] 0.885 -> regret[last10] 1.029 | policy_loss +0.0004 | entropy 1.043
iter   360 | reward +0.376 | regret[first10] 0.919 -> regret[last10] 1.004 | policy_loss -0.0001 | entropy 1.059
iter   370 | reward +0.333 | regret[first10] 0.875 -> regret[last10] 0.933 | policy_loss -0.0005 | entropy 1.035
iter   380 | reward +0.351 | regret[first10] 0.928 -> regret[last10] 0.960 | policy_loss +0.0017 | entropy 1.022
iter   390 | reward +0.432 | regret[first10] 0.866 -> regret[last10] 0.948 | policy_loss +0.0003 | entropy 0.975
iter   400 | reward +0.522 | regret[first10] 0.905 -> regret[last10] 0.985 | policy_loss +0.0004 | entropy 0.989
iter   410 | reward +0.497 | regret[first10] 0.912 -> regret[last10] 0.971 | policy_loss +0.0001 | entropy 0.953
iter   420 | reward +0.492 | regret[first10] 0.864 -> regret[last10] 0.944 | policy_loss -0.0000 | entropy 0.949
iter   430 | reward +0.501 | regret[first10] 0.852 -> regret[last10] 0.925 | policy_loss +0.0003 | entropy 0.932
iter   440 | reward +0.476 | regret[first10] 0.887 -> regret[last10] 0.922 | policy_loss +0.0002 | entropy 0.961
iter   450 | reward +0.498 | regret[first10] 0.818 -> regret[last10] 0.903 | policy_loss -0.0001 | entropy 0.922
iter   460 | reward +0.526 | regret[first10] 0.732 -> regret[last10] 0.890 | policy_loss +0.0007 | entropy 0.900
iter   470 | reward +0.472 | regret[first10] 0.810 -> regret[last10] 0.926 | policy_loss +0.0013 | entropy 0.904
iter   480 | reward +0.427 | regret[first10] 0.781 -> regret[last10] 0.932 | policy_loss +0.0004 | entropy 0.913
iter   490 | reward +0.497 | regret[first10] 0.790 -> regret[last10] 0.895 | policy_loss +0.0003 | entropy 0.885
